1,职业道德是指从事一定职业劳动的人们，在长期的职业活动中形成的(　)。,行为规范,操作程序,劳动技能,思维习惯,A
2,正确阐述职业道德与人生事业的关系的选项是(　)。,没有职业道德的人，任何时刻都不会获得成功,具有较高的职业道德的人，任何时刻都会获得成功,事业成功的人往往并不需要较高的职业道德,职业道德是获得人生事业成功的重要条件,D
3,坚持办事公道，要努力做到(　)。,公私不分,有求必应,公正公平,全面公开,C
4,企业创新要求员工努力做到(　)。,不能墨守成规，但也不能标新立异,大胆地破除现有的结论，自创理论体系,大胆地试大胆地闯，敢于提出新问题,激发人的灵感，遏制冲动和情感,C
5,市场经济条件下，不符合爱岗敬业要求的是(　)的观念。,树立职业理想,强化职业责任,干一行爱一行,多转行多跳槽,D
6,作为一名工作认真负责的员工，应该是(　)。,领导说什么就做什么,领导亲自安排的工作认真做，其他工作可以马虎一点,面上的工作要做仔细一些，看不到的工作可以快一些,工作不分大小，都要认真去做,D
7,企业生产经营活动中，促进员工之间团结合作的措施是(　)。,互利互惠，平均分配,加强交流，平等对话,只要合作，不要竞争,人心叵测，谨慎行事,B
8,全电路欧姆定律指出：电路中的电流由电源(　)、内阻和负载电阻决定。,功率,电压,电阻,电动势,D
9,电路节点是(　)连接点。,两条支路,三条支路,三条或以上支路,任意支路,C
10,磁场内各点的磁感应强度大小相等、方向相同，则称为(　)。,均匀磁场,匀速磁场,恒定磁场,交变磁场,A
11,三相电动势到达最大的顺序是不同的，这种达到最大值的先后次序，称三相电源的相序，相序为U-V-W-U，称为(　)。,正序,负序,逆序,相序,A
12,将变压器的一次侧绕组接交流电源，二次侧绕组的电流大于额定值，这种运行方式称为(　)运行。,空载,过载,满载,轻载,B
13,变压器的基本作用是在交流电路中变电压、变电流、变阻抗、(　)和电气隔离。,变磁通,变相位,变功率,变频率,B
14,变压器的铁心可以分为(　)和芯式两大类。,同心式,交叠式,壳式,笼式,B
15,交流接触器的文字符号是(　)。,QS,SQ,SA,KM,D
16,稳压二极管的正常工作状态是(　)。,导通状态,截止状态,反向击穿状态,任意状态,C
17,容易产生零点漂移的耦合方式是(　)。,阻容耦合,变压器耦合,直接耦合,电感耦合,C
18,要稳定输出电压，减少电路输入电阻应选用(　)负反馈。,电压串联,电压并联,电流串联,电流并联,B
19,下列集成运放的应用能将矩形波变为尖顶脉冲波的是(　)。,比例应用,加法应用,微分应用,比较器,C
20,RC选频振荡电路，能产生电路振荡的放大电路的放大倍数至少为(　)。,10,3,5,20,B
21,LC选频振荡电路达到谐振时，选频电路的相位移为(　)度。,0,90,180,-90,A
22,串联型稳压电路的调整管接成(　)电路形式。,共基极,共集电极,共射极,分压式共射极,B
23,三端集成稳压器件在应用时，要注意输入、输出之间的电压差至少为(　)伏。,1,5,4,2~3,D
24,下列逻辑门电路需要外接上拉电阻才能正常工作的是(　)。,与非门,或非门,与或非门,OC门,D
25,单相半波可控整流电路中晶闸管所承受的最高电压是(　)。,1.414U2,0.707U2,U2,2U2,A
26,单相桥式可控整流电路电感性负载带续流二极管时，晶闸管的导通角为(　)。,180°-α,90°-α,90°+α,180°+α,A
27,单结晶体管触发电路的同步电压信号来自(　)。,负载两端,晶闸管,整流电源,脉冲变压器,C
28,晶闸管电路中串入小电感的目的是(　)。,防止电流尖峰,防止电压尖峰,产生触发脉冲,产生自感电动势,A
29,晶闸管两端并联压敏电阻的目的是实现(　)。,防止冲击电流,防止冲击电压,过流保护,过压保护,D
30,熔断器的额定分断能力必须大于电路中可能出现的最大(　)。,短路电流,工作电流,过载电流,启动电流,A
31,短路电流很大的电气线路中宜选用(　)断路器。,塑壳式,限流型,框架式,直流快速断路器,B
32,接触器的额定电流应不小于被控电路的(　)。,额定电流,负载电流,最大电流,峰值电流,A
33,(　)是企业诚实守信的内在要求。,维护企业信誉,增加职工福利,注重经济效益,开展员工培训,A
34,企业创新要求员工努力做到(　)。,不能墨守成规，但也不能标新立异,大胆地破除现有的结论，自创理论体系,大胆地试大胆地闯，敢于提出新问题,激发人的灵感，遏制冲动和情感,C
35,企业生产经营活动中，促进员工之间团结合作的措施是(　)。,互利互惠，平均分配,加强交流，平等对话,只要合作，不要竞争,人心叵测，谨慎行事,B
36,电工的工具种类很多，(　)。,只要保管好贵重的工具就行了,价格低的工具可以多买一些，丢了也不可惜,要分类保管好,工作中，能拿到什么工具就用什么工具,C
37,串联电阻的分压作用是阻值越大电压越(　)。,小,大,增大,减小,B
38,基尔霍夫定律的节点电流定律也适合任意(　)。,封闭面,短路,开路,连接点,A
39,如图所示，IS=5A，当US单独作用时，I1=3A，当IS和US共同作用时I1为(　)。,2A,1A,0A,3A,B
40,磁场内各点的磁感应强度大小相等、方向相同，则称为(　)。,均匀磁场,匀速磁场,恒定磁场,交变磁场,A
41,在(　)，磁力线由S极指向N极。,磁场外部,磁体内部,磁场两端,磁场一端到另一端,B
42,铁磁材料在磁化过程中，当外加磁场H不断增加，而测得的磁场强度几乎不变的性质称为(　)。,磁滞性,剩磁性,高导磁性,磁饱和性,D
43,将变压器的一次侧绕组接交流电源，二次侧绕组的电流大于额定值，这种运行方式称为(　)运行。,空载,过载,满载,轻载,B
44,三相异步电动机的缺点是(　)。,结构简单,重量轻,调速性能差,转速低,C
45,行程开关的文字符号是(　)。,QS,SQ,SA,KM,B
46,交流接触器的作用是可以(　)接通和断开负载。,频繁地,偶尔,手动,不需,A
47,当二极管外加电压时，反向电流很小，且不随(　)变化。,正向电流,正向电压,电压,反向电压,D
